userId,movieId,tag,timestamp
336,1,pixar,1139045764
474,1,pixar,1137206825
567,1,fun,1525286013
62,2,fantasy,1528843929
62,2,magic board game,1528843932
62,2,Robin Williams,1528843907
474,2,game,1137375552
289,3,moldy,1143424860
289,3,old,1143424860
474,5,pregnancy,1137373903
474,5,remake,1137373903
474,7,remake,1137375642
474,11,politics,1137374904
474,11,president,1137374904
474,14,politics,1137375623
474,14,president,1137375623
474,16,Mafia,1137181640
474,17,Jane Austen,1137181153
474,21,Hollywood,1137206178
474,22,serial killer,1137375496
474,25,alcoholism,1138137555
474,26,Shakespeare,1138137603
474,28,In Netflix queue,1137201942
474,28,Jane Austen,1137180037
474,29,kidnapping,1138137473
474,31,high school,1137375502
474,31,teacher,1137375502
424,32,time travel,1457901872
474,32,time travel,1137206826
477,32,Brad Pitt,1242494310
477,32,Bruce Willis,1242494306
477,32,mindfuck,1242494321
477,32,Post apocalyptic,1242494300
477,32,post-apocalyptic,1242494300
477,32,remake,1242494315
477,32,time travel,1242494304
477,32,twist ending,1242494302
474,34,Animal movie,1137180956
474,34,pigs,1137205237
477,34,villain nonexistent or not needed for good story,1244787845
474,36,death penalty,1137202363
474,36,Nun,1137191227
474,38,twins,1137373760
357,39,chick flick,1348627867
357,39,funny,1348627869
357,39,Paul Rudd,1348627871
357,39,quotable,1348627873
357,39,seen more than once,1348627878
474,39,Emma,1138137492
474,39,Jane Austen,1138137492
474,40,In Netflix queue,1137202107
474,40,South Africa,1137202107
474,41,Shakespeare,1138137646
474,43,England,1138137640
474,45,Journalism,1137206826
474,46,wedding,1137375539
424,47,mystery,1457842470
424,47,twist ending,1457842458
474,47,serial killer,1137206452
424,50,mindfuck,1457842328
424,50,suspense,1457842315
424,50,thriller,1457842332
424,50,tricky,1457842340
424,50,twist ending,1457842306
474,50,heist,1137206826
474,52,adoption,1137206315
474,52,prostitution,1137206371
474,58,writing,1138137613
474,62,music,1137374957
474,92,Jekyll and Hyde,1138137574
474,96,theater,1138137537
474,101,crime,1138137460
567,101,off-beat comedy,1525287216
567,101,quirky,1525287214
167,104,test tag,1154718872
474,104,golf,1137374014
477,104,Adam Sandler,1244787691
474,107,muppets,1137375573
62,110,beautiful scenery,1528152541
62,110,epic,1528152532
