userId,movieId,rating,timestamp
1,1,4.0,964982703
5,1,4.0,847434962
7,1,4.5,1106635946
15,1,2.5,1510577970
17,1,4.5,1305696483
18,1,3.5,1455209816
19,1,4.0,965705637
21,1,3.5,1407618878
27,1,3.0,962685262
31,1,5.0,850466616
32,1,3.0,856736119
33,1,3.0,939647444
40,1,5.0,832058959
43,1,5.0,848993983
44,1,3.0,869251860
45,1,4.0,951170182
46,1,5.0,834787906
50,1,3.0,1514238116
54,1,3.0,830247330
57,1,5.0,965796031
63,1,5.0,1443199669
64,1,4.0,1161520134
66,1,4.0,1104643957
68,1,2.5,1158531426
71,1,5.0,864737933
73,1,4.5,1464196374
76,1,0.5,1439165548
78,1,4.0,1252575124
82,1,2.5,1084467729
86,1,4.0,1344082549
89,1,3.0,1520408314
90,1,3.0,856353996
91,1,4.0,1112713037
93,1,3.0,942767337
96,1,5.0,964772990
98,1,4.5,1532457849
103,1,4.0,1431954238
107,1,4.0,829322340
112,1,3.0,1442535639
119,1,3.5,1435942468
121,1,4.0,847656180
124,1,4.0,1336584336
130,1,3.0,832589610
132,1,2.0,1157921785
134,1,3.0,832841103
135,1,4.0,1009691859
137,1,4.0,1204859907
140,1,3.0,942924980
141,1,4.0,1513130643
144,1,3.5,1137323419
145,1,5.0,832105242
151,1,5.0,855947195
153,1,2.0,1525548642
155,1,3.0,961861723
156,1,4.0,1106854640
159,1,4.5,1508640172
160,1,4.0,971115026
161,1,4.0,1176751765
166,1,5.0,1189980529
167,1,3.5,1154721923
169,1,4.5,1059427918
171,1,5.0,866904159
177,1,5.0,1435533535
178,1,4.0,1164354911
179,1,4.0,852114051
182,1,4.0,1063289621
185,1,4.0,1044311830
186,1,4.0,1031080831
191,1,4.0,829759809
193,1,2.0,1435856890
200,1,3.5,1229886312
201,1,5.0,939801780
202,1,4.0,974923506
206,1,5.0,850763267
213,1,3.5,1316196157
214,1,3.0,853937855
216,1,3.0,975211713
217,1,4.0,955942540
219,1,3.5,1194681084
220,1,5.0,1230055565
223,1,3.5,1226209758
226,1,3.5,1095662606
229,1,5.0,838144316
232,1,3.5,1076955621
233,1,3.0,1524781249
234,1,5.0,1004409347
239,1,4.0,1221158265
240,1,5.0,849122434
247,1,5.0,1467644119
249,1,4.0,1347317775
252,1,4.5,1498284904
254,1,4.5,1180446553
263,1,4.0,940384199
264,1,4.0,1136978964
266,1,2.0,945669542
269,1,5.0,850865423
270,1,5.0,853918728
273,1,5.0,835861234
274,1,4.0,1171410158
275,1,5.0,1049076484
276,1,4.0,858350384
277,1,4.0,861812794
279,1,3.0,1506394495
280,1,4.5,1348435273
282,1,4.5,1378495714
283,1,3.0,901227602
288,1,4.5,1054568869
290,1,4.0,975031464
291,1,4.0,1453051567
292,1,4.0,1219625000
293,1,3.0,1044870886
298,1,2.0,1447518257
304,1,5.0,881428344
307,1,4.0,1186160893
314,1,3.0,834398280
322,1,3.5,1217676206
323,1,3.5,1422640363
328,1,5.0,1494210665
330,1,4.0,1285904910
332,1,4.0,1352672340
334,1,3.5,1225477466
336,1,4.0,1122227329
337,1,4.0,860255715
339,1,4.0,1460183470
341,1,5.0,1439750939
347,1,5.0,847645986
